date, pm25, pm10, o3, no2, so2, co
2021/1/29, 138, 76, 23, 18, 4, 8
2021/1/30, 119, 79, 25, 19, 4, 8
2021/1/31, 133, 75, 21, 20, 3, 8
2021/2/1, 133, 83, 25, 22, 4, 10
2021/2/2, 138, 85, 21, 20, 4, 10
2021/2/3, 146, 74, 18, 15, 3, 5
2021/2/4, 140, 59, 21, 12, 3, 5
2021/2/5, 114, 61, 21, 14, 3, 5
2021/2/6, 117, 67, 23, 16, 3, 5
2021/2/7, 125, 69, 38, 16, 4, 8
2021/2/8, 121, 79, 22, 18, 6, 8
2021/2/9, 133, 80, 21, 15, 5, 8
2021/2/10, 135, 80, 24, 17, 5, 8
2021/2/11, 143, 77, 20, 12, 5, 8
2021/2/12, 140, 76, 15, 7, 6, 9
2021/2/13, 135, 83, 21, 7, 5, 9
2021/2/14, 142, 71, 20, 7, 5, 8
2021/2/15, 130, 74, 21, 7, 5, 8
2021/2/16, 136, 77, 42, 7, 6, 8
2021/2/17, 136, 78, 23, 8, 6, 8
2021/2/18, 143, 75, 23, 5, 5, 8
2021/2/19, 138, 74, 20, 8, 4, 8
2021/2/20, 132, 69, 19, 7, 5, 6
2021/2/21, 126, 76, 20, 7, 5, 7
2021/2/22, 130, 80, 19, 8, 5, 7
2021/2/23, 125, 80, 18, 8, 5, 9
2021/2/24, 131, 68, 24, 8, 6, 6
2021/2/25, 118, 84, 14, 6, 7, 9
2021/2/26, 124, 71, 16, 5, 6, 4
2021/2/27, 114, 75, 18, 5, 7, 4
2021/2/28, 125, 65, 16, 5, 7, 4
2021/3/1, 117, 65, 15, 5, 6, 4
2021/3/2, 114, 69, 15, 5, 6, 7
2021/3/3, 121, 72, 58, 5, 10, 7
2021/3/4, 122, 64, 14, 5, 6, 6
2021/3/5, 124, 72, 14, 6, 5, 7
2021/3/6, 128, 78, 13, 7, 6, 5
2021/3/7, 132, 101, 12, 5, 6, 7
2021/3/8, 144, 75, 30, 5, 13, 5
2021/3/9, 132, 69, 13, 5, 6, 5
2021/3/10, 123, 73, 14, 7, 6, 7
2021/3/11, 135, 70, 11, 5, 5, 4
2021/3/12, 130, 58, 13, 5, 5, 5
2021/3/13, 115, 67, 13, 5, 5, 5
2021/3/14, 131, 70, 12, 5, 5, 4
2021/3/15, 128, 102, 10, 5, 5, 5
2021/3/16, 154, 103, 11, 4, 5, 5
2021/3/17, 155, 91, 10, 4, 6, 4
2021/3/18, 147, 63, 10, 5, 4, 4
2021/3/19, 124, 69, 10, 4, 5, 4
2021/3/20, 132, 77, 10, 4, 6, 5
2021/3/21, 140, 64, 24, 5, 8, 4
2021/3/22, 133, 91, 8, 6, 5, 2
2021/3/23, 123, 55, 11, 15, 5, 2
2021/3/24, 108, 61, 16, 8, 4, 2
2021/3/25, 116, 64, 15, 6, 6, 5
2021/3/26, 122, 73, 14, 5, 5, 5
2021/3/27, 137, 72, 16, 6, 6, 6
2021/3/28, 140, 73, 17, 6, 5, 4
2021/3/29, 135, 160, 15, 6, 5, 1
2021/3/30, 155, 76, 15, 8, 5, 2
2021/3/31, 132, 63, 15, 8, 5, 1
2020/10/1, 112, 61, 31, 8, 6, 5
2020/10/2, 116, 63, 36, 9, 7, 6
2020/10/3, 123, 62, 39, 7, 7, 5
2020/10/4, 121, 59, 44, 9, 7, 9
