date, pm25, pm10, o3, no2, so2, co
2021/1/31, 75, , , 2, 5, 9
2021/2/1, 99, , , 3, 7, 10
2021/2/2, 120, , , 3, 6, 10
2021/2/3, 100, , , 3, 4, 8
2021/2/4, 98, , , 3, 4, 10
2021/2/5, 102, , , 3, 4, 10
2021/2/6, 93, , , 3, 4, 10
2021/2/7, 93, , , 3, 2, 9
2021/2/8, 96, , , 3, 6, 8
2021/2/9, 136, , , 3, 6, 9
2021/2/10, 137, , , 3, 5, 8
2021/2/11, 129, , , 3, 4, 9
2021/2/12, 110, , , 3, 3, 7
2021/2/13, 105, , , 3, 3, 7
2021/2/14, 100, , , 3, 3, 8
2021/2/15, 96, , , 3, 9, 9
2021/2/16, 130, , , , 5, 5
2021/2/17, 97, , , 3, 33, 6
2021/2/18, 115, , , 5, 11, 7
2021/2/19, 95, , , 5, 5, 9
2021/2/20, 71, , , 5, 25, 8
2021/2/21, 56, , , 5, 9, 8
2021/2/22, 92, , , 5, 12, 7
2021/2/23, 98, , , 5, 17, 3
2021/2/24, 113, , , 5, 10, 4
2021/2/25, 115, , , 5, 6, 5
2021/2/26, 116, , , 5, 6, 3
2021/2/27, 110, , , 5, 3, 5
2021/2/28, 64, , , 5, 1, 4
2021/3/1, 75, , , 5, 2, 4
2021/3/2, 88, , , 5, 5, 3
2021/3/3, 104, , , 5, 1, 3
2021/3/4, 97, , , 5, 10, 5
2021/3/5, 106, , , 5, 3, 8
2021/3/6, 107, , , 5, 2, 8
2021/3/7, 84, , , 5, 8, 8
2021/3/8, 90, , , 5, 7, 9
2021/3/9, 69, , , 5, 2, 9
2021/3/10, 76, , , 5, , 8
2021/3/11, 85, , , 5, 1, 8
2021/3/12, 74, , , 5, 19, 8
2021/3/13, 80, , , 5, 6, 8
2021/3/14, 84, , , 5, 21, 9
2021/3/15, 95, 91, , 5, 6, 7
2021/3/16, 112, 65, , 5, 1, 8
2021/3/17, 93, 68, , 5, 10, 7
2021/3/18, 114, 75, , 2, 15, 9
2021/3/19, 140, 65, , , 4, 5
2021/3/20, 132, 59, , , 7, 7
2021/3/21, 108, 61, , , 1, 11
2021/3/22, 127, 76, , , 9, 8
2021/3/23, 125, 78, , , 16, 6
2021/3/24, 125, 76, , , , 15
2021/3/25, 125, 69, , , , 12
2021/3/26, 119, 56, , , , 10
2021/3/27, 99, 53, , , 1, 11
2021/3/28, 85, 43, , 1, 1, 12
2021/3/29, 78, 46, , 5, 2, 13
2021/3/30, 80, 50, , 5, 2, 13
2021/3/31, 79, 48, , 5, 1, 13
2020/10/1, 117, , , 16, 9, 5
2020/10/2, 56, , , 10, 16, 6
2020/10/3, 62, , , 11, 15, 7
2020/10/4, 78, , , 16, 17, 3
2020/10/5, 104, , , 14, 18, 8
2020/10/6, 120, , , 10, 20, 10
2020/10/7, 126, , , 9, 2, 9
2020/10/8, 99, , , 11, 1, 12
2020/10/9, 107, , , 10, 5, 9
2020/10/10, 97, , , 3, 3, 10
2020/10/11, 79, , , 4, 2, 13
2020/10/12, 70, , , 5, 3, 11
2020/10/13, 69, , , 6, 1, 14
2020/10/14, 98, , , 4, 1, 9
2020/10/15, 94, , , 4, 1, 11
2020/10/16, 91, , , 5, , 13
2020/10/17, 90, , , 5, , 16
2020/10/18, 88, , , 5, 1, 15
2020/10/19, 98, , , 4, 4, 8
2020/10/20, 105, , , 4, 8, 12
2020/10/21, 106, , , 5, 5, 13
2020/10/22, 156, , , 5, 12, 8
2020/10/23, 147, , , 5, 7, 12
2020/10/24, 126, , , 4, 19, 9
2020/10/25, 147, , , 4, 20, 10
2020/10/26, 148, , , 5, 23, 8
2020/10/27, 146, , , 4, 23, 8
2020/10/28, 126, , , 5, 17, 9
2020/10/29, 124, , , 8, 17, 5
2020/10/30, 136, , , 7, 15, 7
2020/10/31, 156, , , 7, 7, 10
2020/11/1, 141, , , 5, 8, 9
2020/11/2, 128, , , 6, 6, 7
2020/11/3, 165, , , 4, 18, 9
2020/11/4, 121, , , 3, 5, 10
2020/11/5, 97, , , 3, 7, 8
2020/11/6, 73, , , 4, 8, 8
2020/11/7, 73, , , 4, 8, 14
2020/11/8, 152, , , 7, 8, 8
2020/11/9, 172, , , 6, 7, 7
2020/11/10, 164, , , 4, 18, 6
2020/11/11, 154, , , 4, 15, 10
2020/11/12, 103, , , 3, 7, 8
2020/11/13, 120, , , 5, 11, 9
2020/11/14, 127, , , 5, 9, 7
2020/11/15, 154, , , 4, 17, 4
2020/11/16, 63, , , 6, 7, 8
2020/11/17, 112, , , 3, , 8
2020/11/18, 80, , , 3, 1, 5
2020/11/19, 110, , , , 3, 4
2020/11/20, 141, , 1, , 4, 6
2020/11/21, 140, , 6, , 4, 3
2020/11/22, 146, , 2, , 3, 5
2020/11/23, 148, , 3, , 3, 7
2020/11/24, 125, , 4, , 3, 7
2020/11/25, 57, , 4, , 3, 7
2020/11/26, 42, , 3, , 4, 10
2020/11/27, 53, , , , 4, 5
2020/11/28, 67, , 2, , 3, 4
2020/11/29, 61, , 1, , 3, 7
2020/11/30, 79, , 6, , 3, 3
2020/12/1, 87, , 5, , 3, 9
2020/12/2, 83, , 2, 1, 4, 4
2020/12/3, 65, , 1, 2, 4, 7
2020/12/4, 39, , 1, 2, 4, 5
2020/12/5, 43, , , 2, 3, 7
2020/12/6, 76, , , 2, 3, 8
2020/12/7, 86, , , 2, 4, 7
2020/12/8, 98, , 1, 2, 3, 5
2020/12/9, 134, , 9, 2, 3, 4
2020/12/10, 104, , 25, 3, 4, 6
2020/12/11, 146, , , 2, 4, 6
2020/12/12, 110, , , 2, 5, 6
2020/12/13, 93, , , 3, 4, 5
2020/12/14, 86, , , 2, 3, 6
2020/12/15, 136, , , 2, 3, 7
2020/12/16, 97, , , 2, 3, 8
2020/12/17, 96, , , 2, 2, 8
2020/12/18, 145, , , 2, 2, 8
2020/12/19, 156, , , 2, 2, 6
2020/12/20, 131, , , 2, 2, 6
2020/12/21, 137, , , 2, 3, 6
2020/12/22, 125, , , 3, 4, 7
2020/12/23, 115, , , 2, 4, 6
2020/12/24, 129, , , 2, 5, 6
2020/12/25, 147, , , 2, 4, 6
2020/12/26, 133, , , 2, 4, 7
2020/12/27, 143, , , 2, 4, 7
2020/12/28, 117, , , 2, 5, 6
2020/12/29, 117, , , 2, 3, 7
2020/12/30, 131, , , 2, 3, 7
2020/12/31, 113, , , 2, 3, 5
2021/1/1, 108, , , 2, 3, 7
2021/1/2, 110, , , 1, 3, 7
2021/1/3, 98, , , 1, 4, 7
2020/7/1, 79, 44, 41, 11, 2, 20
2020/7/2, 71, 1, 28, 8, 1, 16
2020/7/3, 69, 21, 31, 6, 2, 9
2020/7/4, 59, 32, 34, 6, 2, 11
2020/7/5, 72, 46, 36, 7, 3, 9
2020/7/6, 63, 47, 37, 6, 2, 7
2020/7/7, 62, 15, 31, 7, 1, 12
2020/7/8, 94, 31, 45, 9, 1, 10
2020/7/9, 90, 12, 44, 8, 1, 15
2020/7/10, 86, 25, 37, 8, 1, 5
2020/7/11, 64, 22, 38, 8, 1, 7
2020/7/12, 65, 29, 37, 10, 1, 7
2020/7/13, 87, 29, 37, 8, 1, 11
2020/7/14, 110, 34, 37, 21, 1, 10
2020/7/15, 111, 36, 35, 19, 1, 9
2020/7/16, 97, 24, 38, 8, 4, 11
2020/7/17, 97, 45, 39, 7, 2, 5
2020/7/18, 90, 42, 37, 6, 1, 5
2020/7/19, 83, 21, 38, 7, 1, 11
2020/7/20, 71, 31, 40, 4, 2, 7
2020/7/21, 78, 30, 48, 3, 1, 13
2020/7/22, 94, 35, 46, 3, , 10
2020/7/23, 105, 33, 201, 3, 1, 12
2020/7/24, 118, 30, 164, 4, 1, 9
2020/7/25, 104, 24, 48, 3, 1, 5
2020/7/26, 64, 24, 52, 3, 1, 7
2020/7/27, 101, 26, 47, 4, 1, 8
2020/7/28, 110, 63, 42, 5, 1, 12
2020/7/29, 109, 67, 36, 3, 1, 12
2020/7/30, 74, 38, 34, 3, 1, 6
2020/7/31, 58, 23, 36, 4, 1, 7
2020/8/1, 51, 15, 36, 4, 1, 5
2020/8/2, 45, 19, 33, 4, 2, 8
2020/8/3, 79, 28, 31, 5, 2, 10
2020/8/4, 87, 25, 24, 6, 1, 8
2020/8/5, 79, 36, 23, 5, 1, 9
2020/8/6, 72, 40, 46, 4, 1, 14
2020/8/7, 99, 38, 38, 4, 1, 15
2020/8/8, 95, 14, 37, 3, 1, 12
2020/8/9, 77, 35, 23, 4, 1, 15
2020/8/10, 61, 33, 35, 4, 1, 9
2020/8/11, 97, 31, 40, 4, 1, 11
2020/8/12, 110, 45, 40, 4, 1, 11
2020/8/13, 124, 53, 33, 4, 1, 12
2020/8/14, 110, 41, 39, 4, 1, 12
2020/8/15, 96, 48, 33, 3, 1, 11
2020/8/16, 108, 52, 36, 5, 2, 8
2020/8/17, 117, 46, 36, 5, 2, 8
2020/8/18, 81, 38, 38, 5, 2, 9
2020/8/19, 78, 50, 42, 4, 1, 9
2020/8/20, 69, 59, 41, 4, 1, 11
2020/8/21, 80, 49, 42, 3, 2, 12
2020/8/22, 110, 46, 39, 3, 2, 11
2020/8/23, 61, 34, 40, 3, 5, 13
2020/8/24, 44, 42, 42, 14, 2, 8
2020/8/25, 88, 42, 41, 18, 1, 8
2020/8/26, 84, 44, 42, 8, 2, 12
2020/8/27, 104, 39, 48, 4, 3, 9
2020/8/28, 102, , , 4, 7, 8
2020/8/29, 118, , , 5, 6, 11
2020/8/30, 115, , , 5, 7, 13
2020/8/31, 74, , , 4, 4, 16
2020/9/1, 134, , , 4, 6, 6
2020/9/2, 89, , , 5, 7, 9
2020/9/3, 120, , , 10, 15, 8
2020/9/4, 118, , , 11, 4, 9
2020/9/5, 85, , , 10, 4, 9
2020/9/6, 63, , , 12, 7, 9
2020/9/7, 47, , , 10, 18, 8
2020/9/8, 67, , , 11, 16, 11
2020/9/9, 33, , , 10, 16, 7
2020/9/10, 124, , , 11, 2, 8
2020/9/11, 139, , , 13, 2, 7
2020/9/12, 84, , , 11, 5, 8
2020/9/13, 79, , , 9, 7, 8
2020/9/14, 102, , , 11, 14, 9
2020/9/15, 105, , , 12, 16, 9
2020/9/16, 112, , , 12, 12, 8
2020/9/17, 116, , , 11, 12, 7
2020/9/18, 126, , , 8, 3, 8
2020/9/19, 93, , , 2, 7, 9
2020/9/20, 103, , , 4, 11, 7
2020/9/21, 138, , , 5, 19, 4
2020/9/22, 141, , , 4, 8, 7
2020/9/23, 143, , , 3, 6, 7
2020/9/24, 131, , , 3, 7, 6
2020/9/25, 93, , , 10, 9, 7
2020/9/26, 95, , , 12, 11, 12
2020/9/27, 143, , , 12, 13, 9
2020/9/28, 147, , , 11, 7, 3
2020/9/29, 118, , , 11, 3, 11
2020/9/30, 118, , , 17, 8, 9
2020/4/1, 116, 50, 47, 4, 2, 4
2020/4/2, 84, 72, 52, 3, 2, 4
2020/4/3, 80, 127, 53, 3, 1, 4
2020/4/4, 78, 39, 52, 4, 2, 5
2020/4/5, 84, 53, 39, 3, 2, 5
2020/4/6, 53, 51, 41, 3, 2, 4
2020/4/7, 49, 139, 41, 3, 2, 4
2020/4/8, 55, 133, 41, 5, 2, 4
2020/4/9, 50, , 36, 4, 1, 4
2020/4/10, 54, , 40, 4, 1, 4
2020/4/11, 69, , 41, 5, 1, 6
2020/4/12, 70, , 48, 6, 1, 7
2020/4/13, 84, , 54, 3, 2, 5
2020/4/14, 74, , 45, 1, 2, 4
2020/4/15, 53, , 45, 2, 2, 4
2020/4/16, 47, , 42, 3, 2, 4
2020/4/17, 34, , 41, 4, 1, 6
2020/4/18, 44, , 47, 4, 1, 5
2020/4/19, 44, , 49, 2, 2, 4
2020/4/20, 45, , 51, 3, 1, 6
2020/4/21, 67, , 45, 6, 1, 4
2020/4/22, 65, , 43, 9, 1, 4
